ColumnIndex,Time,FrontThresholdComponentCount,BackThresholdComponentCount,FrontEnergyRank,BackEnergyRank
1,1e-14,1,3,1,65
2,1.25892541179417e-14,1,3,2,64
3,1.58489319246111e-14,1,3,3,64
4,1.99526231496888e-14,1,3,4,63
5,2.51188643150958e-14,1,3,5,62
6,3.16227766016838e-14,1,3,6,61
7,3.98107170553498e-14,1,3,7,61
8,5.01187233627273e-14,1,3,8,60
9,6.30957344480194e-14,1,3,8,59
10,7.94328234724283e-14,1,3,9,59
11,1e-13,1,3,10,58
12,1.25892541179417e-13,1,3,11,57
13,1.58489319246112e-13,1,2,12,56
14,1.99526231496889e-13,1,2,13,56
15,2.51188643150959e-13,1,2,14,55
16,3.16227766016839e-13,1,2,14,54
17,3.98107170553499e-13,1,2,15,53
18,5.01187233627274e-13,1,2,16,53
19,6.30957344480196e-13,1,2,17,52
20,7.94328234724285e-13,1,2,18,51
21,1e-12,1,2,18,50
22,1.25892541179417e-12,1,2,19,50
23,1.58489319246112e-12,1,2,20,49
24,1.99526231496889e-12,1,2,21,48
25,2.51188643150959e-12,2,2,22,47
26,3.1622776601684e-12,2,2,22,47
27,3.98107170553499e-12,2,2,23,46
28,5.01187233627275e-12,2,2,24,45
29,6.30957344480197e-12,2,2,25,44
30,7.94328234724286e-12,2,2,25,44
31,1.00000000000001e-11,2,2,26,43
32,1.25892541179418e-11,2,2,27,42
33,1.58489319246112e-11,2,2,28,41
34,1.99526231496889e-11,2,2,28,41
35,2.5118864315096e-11,2,2,29,40
36,3.1622776601684e-11,2,2,30,39
37,3.981071705535e-11,2,2,31,38
38,5.01187233627276e-11,2,2,31,38
39,6.30957344480198e-11,2,2,32,37
40,7.94328234724288e-11,2,2,33,36
41,1.00000000000001e-10,2,2,34,35
42,1.25892541179418e-10,2,2,34,35
43,1.58489319246113e-10,2,2,35,34
44,1.9952623149689e-10,2,2,36,33
45,2.5118864315096e-10,2,2,37,32
46,3.16227766016841e-10,2,2,37,32
47,3.98107170553501e-10,2,2,38,31
48,5.01187233627278e-10,2,2,39,30
49,6.309573444802e-10,2,2,40,29
50,7.94328234724289e-10,2,2,40,28
51,1.00000000000001e-09,2,2,41,28
52,1.25892541179418e-09,2,2,42,27
53,1.58489319246113e-09,2,1,43,26
54,1.9952623149689e-09,2,1,43,25
55,2.51188643150961e-09,2,1,44,25
56,3.16227766016842e-09,3,1,45,24
57,3.98107170553502e-09,3,1,45,23
58,5.01187233627278e-09,3,1,46,22
59,6.30957344480201e-09,3,1,47,22
60,7.94328234724292e-09,3,1,48,21
61,1.00000000000001e-08,3,1,48,20
62,1.25892541179418e-08,3,1,49,19
63,1.58489319246113e-08,3,1,50,18
64,1.99526231496891e-08,3,1,50,18
65,2.51188643150961e-08,3,1,51,17
66,3.16227766016842e-08,3,1,52,16
67,3.98107170553503e-08,3,1,53,15
68,5.0118723362728e-08,3,1,54,14
69,6.30957344480202e-08,3,1,54,13
70,7.94328234724292e-08,3,1,55,12
71,1.00000000000001e-07,3,1,56,11
72,1.25892541179419e-07,3,1,57,10
73,1.58489319246114e-07,3,0,58,9
74,1.99526231496891e-07,3,0,59,8
75,2.51188643150962e-07,3,0,60,7
76,3.16227766016843e-07,3,0,61,6
77,3.98107170553503e-07,3,0,61,5
78,5.0118723362728e-07,3,0,62,4
79,6.30957344480203e-07,3,0,63,3
80,7.94328234724295e-07,3,0,64,2
81,1.00000000000002e-06,3,0,65,1
