Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
1,861482.144682945,0.928234305834108,0.928234305834108,1
2,129422.168253487,0.0209499213473282,0.949184227181436,1
3,67747.2808231438,0.00574048770554469,0.954924714886981,1
4,29455.7901731624,0.00108519156387236,0.956009906450853,0
5,28678.5388343189,0.00102867715401271,0.957038583604866,0
6,28327.8792256276,0.00100367516550536,0.958042258770371,0
7,27676.7373063847,0.000958064696591837,0.959000323466963,0
8,27360.9635344575,0.000936327607166403,0.95993665107413,0
9,27250.0051067881,0.0009287487237297,0.960865399797859,0
10,27029.0124353229,0.000913745834452916,0.961779145632312,0
11,26954.3501923564,0.000908704726242705,0.962687850358555,0
12,26881.6274819271,0.00090380797868587,0.963591658337241,0
13,26565.5244108583,0.000882677062057435,0.964474335399298,0
14,26130.0467419439,0.000853975531321302,0.965328310930619,0
15,25812.6934012278,0.000833358174622706,0.966161669105242,0
16,25710.3627983497,0.000826763821448757,0.966988432926691,0
17,25551.9473517261,0.00081660693133373,0.967805039858025,0
18,25371.608298898,0.000805120805805585,0.96861016066383,0
19,25108.9322762123,0.000788536034673156,0.969398696698503,0
20,24858.0699123609,0.0007728582802052,0.970171554978709,0
21,24784.8997669782,0.000768315133873987,0.970939870112583,0
22,24529.017510676,0.0007525326727641,0.971692402785347,0
23,24333.3062156198,0.000740572015068016,0.972432974800415,0
24,24274.0657345663,0.000736970495562611,0.973169945295977,0
25,24092.5535051653,0.000725990133090759,0.973895935429068,0
26,23983.417101737,0.000719427732275015,0.974615363161343,0
27,23628.116337526,0.000698269793078343,0.975313632954422,0
28,23470.6708885051,0.000688994985885333,0.976002627940307,0
29,23215.7214926061,0.000674107911547399,0.976676735851854,0
30,23168.9400378789,0.00067139389076779,0.977348129742622,0
31,22967.4997891809,0.000659769896649445,0.978007899639271,0
32,22788.9869027966,0.00064955374580255,0.978657453385074,0
33,22734.169050172,0.000646432561346575,0.979303885946421,0
34,22597.8382167723,0.000638702835457555,0.979942588781878,0
35,22224.830049278,0.000617791532136279,0.980560380314014,0
36,22154.5682180617,0.000613891520274815,0.981174271834289,0
37,21917.9268333017,0.000600847141843194,0.981775118976132,0
38,21703.9136585521,0.000589170726125018,0.982364289702257,0
39,21633.4658214158,0.000585352203528139,0.982949641905785,0
40,21582.7168569949,0.000582609122470631,0.983532251028256,0
41,21311.8497641489,0.000568077182843969,0.9841003282111,0
42,21194.7125398295,0.000561849650873039,0.984662177861973,0
43,21014.4347884083,0.000552332350733754,0.985214510212707,0
44,20855.943173804,0.000544032348199915,0.985758542560907,0
45,20726.3424832932,0.000537292024915731,0.986295834585822,0
46,20390.6878812185,0.000520030490413063,0.986815865076236,0
47,20269.6136262282,0.000513873230961497,0.987329738307197,0
48,20021.8264397321,0.000501386271886449,0.987831124579084,0
49,19792.6741833349,0.00048997509428078,0.988321099673364,0
50,19733.6878732752,0.00048705898948099,0.988808158662845,0
51,19593.4074040276,0.000480158909349744,0.989288317572195,0
52,19401.1863988953,0.000470783930457344,0.989759101502652,0
53,19165.6997318875,0.000459424777373407,0.990218526280026,0
54,19104.7479653586,0.000456507250307134,0.990675033530333,0
55,18887.7615709418,0.000446196374913078,0.991121229905246,0
56,18769.4372518748,0.000440623400114004,0.99156185330536,0
57,18551.2769277266,0.000430440047781655,0.991992293353141,0
58,18319.7153897744,0.000419761398940085,0.992412054752081,0
59,18233.5687911631,0.000415822910352516,0.992827877662434,0
60,18201.4117618632,0.000414357499115779,0.99324223516155,0
61,17996.6206177905,0.000405085760272806,0.993647320921823,0
62,17736.2987419948,0.000393451354188545,0.994040772276011,0
63,17565.7102732374,0.000385919287677133,0.994426691563688,0
64,17332.7510564985,0.00037575092024976,0.994802442483938,0
65,17074.3129938646,0.000364629272222693,0.995167071756161,0
66,16956.0319310465,0.000359594884921788,0.995526666641082,0
67,16812.6700025644,0.000353539897363557,0.995880206538446,0
68,16455.062915611,0.000338660190445718,0.996218866728892,0
69,16379.277367263,0.00033554790267664,0.996554414631568,0
70,16270.2701101815,0.000331096492318377,0.996885511123887,0
71,16118.2503029167,0.000324938256145773,0.997210449380032,0
72,15854.1653740583,0.000314377764881505,0.997524827144914,0
73,15667.4009056582,0.000307014556369183,0.997831841701283,0
74,15511.0964240019,0.000300919304381975,0.998132761005665,0
75,15413.9311938789,0.000297161051201216,0.998429922056866,0
76,15144.6300511026,0.000286868189125254,0.998716790245992,0
77,14992.7285046675,0.00028114243843258,0.998997932684424,0
78,14546.8675270054,0.000264669576068263,0.999262602260493,0
79,14240.2958357262,0.000253631434084581,0.999516233694577,0
80,14102.2357458357,0.000248737345285164,0.999764971039862,0
81,13708.1283646027,0.000235028960137847,1,0
