Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
1,5.60856232321334,0.803500442799637,0.803500442799637,1
2,2.71601314620189,0.188428571408764,0.991929014208401,1
3,0.5615819822161,0.0080558125289319,0.999984826737333,1
4,0.00398641716375957,4.05927531868673e-07,0.999985232664865,0
5,0.00385151948368423,3.78919729325322e-07,0.999985611584594,0
6,0.00379754203337263,3.68373346299581e-07,0.99998597995794,0
7,0.0037306104882865,3.55502642965138e-07,0.999986335460583,0
8,0.00369352278392443,3.48469349612252e-07,0.999986683929933,0
9,0.00361842204041387,3.34442499305924e-07,0.999987018372432,0
10,0.00358250275874618,3.27835580975758e-07,0.999987346208013,0
11,0.00357574852198675,3.26600583016941e-07,0.999987672808596,0
12,0.00351691624925218,3.15941788749708e-07,0.999987988750385,0
13,0.00342697078007123,2.99987958814089e-07,0.999988288738344,0
14,0.00340630174823193,2.96380246521678e-07,0.99998858511859,0
15,0.00338293512330912,2.92327961646502e-07,0.999988877446552,0
16,0.00333221588981016,2.83628117242508e-07,0.999989161074669,0
17,0.00328696212722148,2.7597670193616e-07,0.999989437051371,0
18,0.00328082984413084,2.74947916982461e-07,0.999989711999288,0
19,0.00322735181550345,2.66057583005069e-07,0.999989978056871,0
20,0.00320187327946054,2.61873347486207e-07,0.999990239930219,0
21,0.00315329074045554,2.53986744265362e-07,0.999990493916963,0
22,0.00309667745631121,2.44948601927122e-07,0.999990738865565,0
23,0.00308241934543097,2.42698148618963e-07,0.999990981563713,0
24,0.00306818259450485,2.404614290983e-07,0.999991222025143,0
25,0.00301665973890611,2.32453277703286e-07,0.99999145447842,0
26,0.00299997226445212,2.29888633735937e-07,0.999991684367054,0
27,0.00297886842942498,2.26665625723914e-07,0.99999191103268,0
28,0.00294349247792298,2.21313996463832e-07,0.999992132346676,0
29,0.0029131875973147,2.16780355763354e-07,0.999992349127032,0
30,0.00287494401549448,2.11126041033523e-07,0.999992560253073,0
31,0.00286566736866396,2.09765748886309e-07,0.999992770018822,0
32,0.0028070745078676,2.01275493664321e-07,0.999992971294316,0
33,0.00277216117396589,1.96299852529956e-07,0.999993167594168,0
34,0.00274173188469329,1.92014040025547e-07,0.999993359608208,0
35,0.00271932503122654,1.88888388216248e-07,0.999993548496596,0
36,0.00270908348052477,1.87468280581671e-07,0.999993735964877,0
37,0.00266696370099772,1.81684228686543e-07,0.999993917649106,0
38,0.00262817834978228,1.76438227749698e-07,0.999994094087333,0
39,0.00259454468392025,1.71951246850734e-07,0.99999426603858,0
40,0.0025856395374702,1.70772910458435e-07,0.99999443681149,0
41,0.00254064615885291,1.6488129446122e-07,0.999994601692785,0
42,0.00252348771165443,1.62661738085348e-07,0.999994764354523,0
43,0.00249456562104267,1.58954521364832e-07,0.999994923309044,0
44,0.00248121118022452,1.57257178344648e-07,0.999995080566223,0
45,0.00246526264408531,1.55242064614504e-07,0.999995235808287,0
46,0.00245490097917866,1.539398213824e-07,0.999995389748109,0
47,0.00238509038700698,1.45309063592016e-07,0.999995535057172,0
48,0.00231588885181216,1.36999330349121e-07,0.999995672056503,0
49,0.00231209512503677,1.36550852583751e-07,0.999995808607355,0
