ColumnIndex,Time,FrontThresholdComponentCount,BackThresholdComponentCount,FrontEnergyRank,BackEnergyRank
1,1e-14,1,4,1,3
2,1.16591440117983e-14,1,4,1,3
3,1.35935639087852e-14,1,4,1,3
4,1.58489319246111e-14,1,4,1,3
5,1.84784979742229e-14,1,4,1,3
6,2.15443469003189e-14,1,4,1,3
7,2.51188643150958e-14,1,4,1,3
8,2.92864456462524e-14,1,4,1,3
9,3.4145488738336e-14,1,4,1,3
10,3.98107170553497e-14,1,4,1,3
11,4.64158883361277e-14,1,4,1,3
12,5.41169526546463e-14,1,4,1,3
13,6.30957344480194e-14,2,4,1,3
14,7.35642254459642e-14,2,4,1,3
15,8.57695898590895e-14,2,4,1,3
16,1e-13,2,4,1,3
17,1.16591440117983e-13,2,4,1,3
18,1.35935639087852e-13,2,4,1,3
19,1.58489319246111e-13,2,4,1,3
20,1.84784979742229e-13,2,4,1,3
21,2.15443469003189e-13,2,4,1,3
22,2.51188643150958e-13,2,4,1,3
23,2.92864456462524e-13,2,4,1,3
24,3.4145488738336e-13,2,4,1,3
25,3.98107170553497e-13,2,4,1,3
26,4.64158883361277e-13,2,4,1,3
27,5.41169526546465e-13,2,4,1,3
28,6.30957344480194e-13,2,4,1,3
29,7.35642254459642e-13,2,4,2,3
30,8.57695898590895e-13,3,4,2,3
31,1e-12,3,4,2,3
32,1.16591440117983e-12,3,4,2,3
33,1.35935639087852e-12,3,4,2,3
34,1.58489319246111e-12,3,4,2,3
35,1.84784979742229e-12,3,3,2,3
36,2.15443469003189e-12,3,3,2,3
37,2.51188643150958e-12,3,3,2,3
38,2.92864456462524e-12,3,3,2,2
39,3.4145488738336e-12,3,3,2,2
40,3.98107170553497e-12,3,3,2,2
41,4.64158883361277e-12,3,3,2,2
42,5.41169526546465e-12,3,2,2,2
43,6.30957344480194e-12,3,2,3,2
44,7.35642254459642e-12,3,2,3,2
45,8.57695898590895e-12,3,2,3,2
46,1e-11,3,2,3,2
47,1.16591440117983e-11,3,2,3,2
48,1.35935639087852e-11,3,2,3,2
49,1.58489319246111e-11,3,2,3,2
50,1.84784979742229e-11,3,2,3,2
51,2.15443469003189e-11,3,2,3,2
52,2.51188643150958e-11,3,2,3,2
53,2.92864456462524e-11,3,2,3,2
54,3.4145488738336e-11,3,2,3,2
55,3.98107170553497e-11,3,2,3,2
56,4.64158883361277e-11,3,2,3,2
57,5.41169526546465e-11,3,2,3,2
58,6.30957344480194e-11,3,2,3,2
59,7.35642254459642e-11,3,2,3,2
60,8.57695898590895e-11,3,2,3,2
61,1e-10,3,2,3,2
62,1.16591440117983e-10,3,2,3,2
63,1.35935639087852e-10,3,2,3,2
64,1.58489319246111e-10,3,2,3,2
65,1.84784979742229e-10,3,2,3,2
66,2.15443469003188e-10,3,2,3,2
67,2.51188643150958e-10,3,2,3,2
68,2.92864456462524e-10,4,2,3,2
69,3.4145488738336e-10,4,2,3,2
70,3.98107170553497e-10,4,2,3,2
71,4.64158883361279e-10,4,2,3,2
72,5.41169526546465e-10,4,2,3,2
73,6.30957344480194e-10,4,2,3,2
74,7.35642254459642e-10,4,2,3,2
75,8.57695898590895e-10,4,2,3,2
76,1e-09,4,2,3,2
77,1.16591440117983e-09,4,2,3,2
78,1.35935639087852e-09,4,2,3,2
79,1.58489319246111e-09,4,2,3,2
80,1.84784979742229e-09,4,2,3,2
81,2.15443469003188e-09,4,2,3,2
82,2.51188643150958e-09,4,1,3,1
83,2.92864456462524e-09,4,1,3,1
84,3.4145488738336e-09,4,1,3,1
85,3.98107170553497e-09,4,1,3,1
86,4.64158883361279e-09,4,1,3,1
87,5.41169526546465e-09,4,1,3,1
88,6.30957344480194e-09,4,1,3,1
89,7.35642254459642e-09,4,1,3,1
90,8.57695898590895e-09,4,1,3,1
91,1e-08,4,1,3,1
92,1.16591440117983e-08,4,1,3,2
93,1.35935639087853e-08,4,1,3,5
94,1.58489319246111e-08,4,1,3,9
95,1.84784979742229e-08,4,1,3,13
96,2.15443469003188e-08,4,1,3,16
97,2.51188643150958e-08,4,1,3,18
98,2.92864456462524e-08,4,1,3,19
99,3.4145488738336e-08,4,1,3,20
100,3.98107170553497e-08,4,1,3,21
101,4.64158883361278e-08,4,0,3,21
102,5.41169526546464e-08,4,0,3,20
103,6.30957344480193e-08,4,0,3,19
104,7.35642254459641e-08,4,0,3,18
105,8.57695898590895e-08,4,0,3,17
106,1e-07,4,0,3,16
107,1.16591440117983e-07,4,0,3,15
108,1.35935639087853e-07,4,0,3,14
109,1.58489319246111e-07,4,0,3,13
110,1.84784979742229e-07,4,0,3,12
111,2.15443469003188e-07,4,0,3,11
112,2.51188643150958e-07,4,0,3,10
113,2.92864456462524e-07,4,0,3,9
114,3.4145488738336e-07,4,0,3,8
115,3.98107170553497e-07,4,0,3,7
116,4.64158883361278e-07,4,0,3,6
117,5.41169526546464e-07,4,0,3,5
118,6.30957344480193e-07,4,0,3,4
119,7.35642254459641e-07,4,0,3,3
120,8.57695898590895e-07,4,0,3,2
121,1e-06,4,0,3,1
