Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
1,4.86049642741812,0.887543830586179,0.887543830586179,1
2,1.61936968364412,0.0985191286600273,0.986062959246206,1
3,0.588844997709521,0.0130265836635495,0.999089542909755,1
4,0.154372938298045,0.000895304761084525,0.99998484767084,1
5,0.00324311265421865,3.95141480381458e-07,0.99998524281232,0
6,0.00315018389627015,3.728210001127e-07,0.999985615633321,0
7,0.00310607043472785,3.62452544177983e-07,0.999985978085865,0
8,0.00307906406883813,3.56177108988834e-07,0.999986334262974,0
9,0.00301703095257796,3.41970059949531e-07,0.999986676233034,0
10,0.00300657046876119,3.39602851229078e-07,0.999987015835885,0
11,0.00298073745963834,3.33792061704868e-07,0.999987349627947,0
12,0.00292196503431959,3.20758801664301e-07,0.999987670386748,0
13,0.00289354380399541,3.14549265693131e-07,0.999987984936014,0
14,0.00284123325649215,3.0327899472155e-07,0.999988288215009,0
15,0.00280283038774895,2.9513600056207e-07,0.999988583351009,0
16,0.00278552051968777,2.91501824365806e-07,0.999988874852833,0
17,0.00275522260750344,2.85195021272878e-07,0.999989160047855,0
18,0.00272629898989251,2.79238642683684e-07,0.999989439286497,0
19,0.002694532672896,2.72769282378638e-07,0.99998971205578,0
20,0.00265511950631284,2.64848001225591e-07,0.999989976903781,0
21,0.00261468398079888,2.5684254540291e-07,0.999990233746326,0
22,0.00257036719994932,2.48209782633985e-07,0.999990481956109,0
23,0.0025598170029532,2.46176386090239e-07,0.999990728132495,0
24,0.00253659630950672,2.4173039713437e-07,0.999990969862892,0
25,0.00252905138161949,2.40294515541423e-07,0.999991210157408,0
26,0.00247102200903715,2.29393855214389e-07,0.999991439551263,0
27,0.00244431790352368,2.2446256974306e-07,0.999991664013833,0
28,0.00243096652452988,2.2201714312626e-07,0.999991886030976,0
29,0.00242236121394699,2.20448100572689e-07,0.999992106479076,0
30,0.00238163028609941,2.13096953922187e-07,0.99999231957603,0
31,0.00235704038629847,2.08719295826012e-07,0.999992528295326,0
32,0.00234483471568699,2.06563233617701e-07,0.99999273485856,0
33,0.00231847789284915,2.01945635418052e-07,0.999992936804195,0
34,0.00229949369457476,1.98652026191183e-07,0.999993135456221,0
35,0.00228432946132119,1.96040605365368e-07,0.999993331496827,0
