q	delta S
0.1	-0.710800515567353
0.2	-2.74463699485408
0.3	-5.81952226188336
0.4	-9.50906971372042
0.5	-13.3008969060015
0.6	-16.6656776530445
0.7	-19.1267954853623
0.8	-20.3208749563657
0.9	-20.0412762651331
1	-18.2595279458831
1.1	-15.1230882091373
1.2	-10.9311861159971
1.3	-6.09329772699955
1.4	-1.07671333219302
1.5	3.64950960738755
1.6	7.66711751520753
1.7	10.6517504838713
1.8	12.4022571723488
1.9	12.8539857128699
2	12.0758902590138
2.1	10.2531754981263
2.2	7.65868727981504
2.3	4.61722542994834
2.4	1.46735526455926
2.5	-1.47485572295787
2.6	-3.94637653680219
2.7	-5.75921494631916
2.8	-6.8122771022838
2.9	-7.09274932838524
3	-6.6678583414084
3.1	-5.66885426133164
3.2	-4.26975446531255
3.3	-2.66373400946852
3.4	-1.04004026999817
3.5	0.436024201407217
3.6	1.6381017726012
3.7	2.48758173127183
3.8	2.95586120479833
3.9	3.06052677939894
4	2.85659726687267
4.1	2.42444892340763
4.2	1.85628434623703
4.3	1.24299452798312
4.4	0.663021436769027
4.5	0.174404936792266
4.6	-0.189338393598237
4.7	-0.41942747484748
4.8	-0.528570290272624
4.9	-0.545127430484108
5	-0.505816899105439
5.1	-0.448176249575963
5.2	-0.403908519374677
5.3	-0.394001270315823
5.4	-0.426168166590803
5.5	-0.494775284902423
5.6	-0.583037255155782
5.7	-0.666952967652869
5.8	-0.720236007273088
5.9	-0.719403307466716
6	-0.648220215409167
6.1	-0.500846981874943
6.2	-0.283261996690449
6.3	-0.0128128563207451
6.4	0.283973947158377
6.5	0.574949392710914
6.6	0.826711225914999
6.7	1.0091422763226
6.8	1.09947722721922
6.9	1.08534859931257
7	0.966424430887919
7.1	0.754456307092698
7.2	0.471776750421343
7.3	0.148489259353389
7.4	-0.181243808908482
7.5	-0.483309854581767
7.6	-0.727616315694186
7.7	-0.891429769727226
7.8	-0.96169474931216
7.9	-0.936091715747959
8	-0.82276523145857
