q	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	1050	1100	1150	1200	1250	1300	1350	1400	1450	1500	1550	1600	1650	1700	1750	1800	1850	1900	1950	2000	2050	2100	2150	2200	2250	2300	2350	2400	2450	2500	2550	2600	2650	2700	2750	2800	2850	2900	2950	3000	3050	3100	3150	3200	3250	3300	3350	3400	3450	3500	3550	3600	3650	3700	3750	3800	3850	3900	3950	4000	4050	4100	4150	4200	4250	4300	4350	4400	4450	4500	4550	4600	4650	4700	4750	4800	4850	4900	4950	5000
0.02	0	-5.34076301846653E-6	-1.07346669101389E-5	-1.61817116422753E-5	-2.16818971930479E-5	-2.72352235224389E-5	-3.28416905940685E-5	-3.85012983861088E-5	-4.42140468621801E-5	-4.99799359895405E-5	-5.57989657318103E-5	-2.46669079955609E-4	-4.37429163011984E-4	-6.28021577558684E-4	-8.18388789681194E-4	-0.00100847338737003	-0.00119821809891801	-0.00138756581129564	-0.00157645958843568	-0.00176484268948479	-0.00195265858692437	-0.00213985098465855	-0.00232636383599674	-0.00251214136152703	-0.00269712806692041	-0.00288126876061142	-0.0030645085713586	-0.00324679296572504	-0.00342806776538055	-0.00360827916432754	-0.00378737374598859	-0.00396529850009756	-0.0041420008395362	-0.00431742861693783	-0.00449153014119656	-0.00466425419377629	-0.00483555004487789	-0.00500536746943544	-0.00517365676290501	-0.00534036875691163	-0.00550545483470705	-0.00566886694640198	-0.00583055762404183	-0.005990479996457	-0.00614858780392387	-0.00630483541260401	-0.0064591778287795	-0.00661157071285925	-0.00676197039318504	-0.00691033387955758	-0.00705661887661336	-0.00716634291112132	-0.00717011141679905	-0.00717094505418936	-0.00716883322361537	-0.00716376655735439	-0.00715573691473401	-0.00714473737678782	-0.00713076224050747	-0.00711380701268718	-0.00709386840332081	-0.00707094431864243	-0.00704503385373027	-0.00701613728472148	-0.00698425606064484	-0.00694939279486061	-0.00691155125612568	-0.00687073635928027	-0.0068269541555419	-0.00678021182249722	-0.00673051765366472	-0.00667788104775536	-0.00662231249754768	-0.00656382357847178	-0.00650242693681139	-0.00643813627760392	-0.00637096635221315	-0.00630093294558901	-0.00622805286321091	-0.00615234391774356	-0.0060738249153801	-0.00599251564191945	-0.00590843684853098	-0.00582161023727167	-0.00573205844633412	-0.00563980503501443	-0.00554487446842177	-0.00544729210200603	-0.00534708416573631	-0.00524427774816286	-0.00513890078015538	-0.00503098201850298	-0.0049205510292486	-0.00480763817084153	-0.00469227457711168	-0.00457449214002554	-0.00445432349227485	-0.00433180198970513	-0.0042069616935587	-0.00407983735257949	-0.00395046438495047
0.04	0	-2.12776726257289E-5	-4.27670467033749E-5	-6.44681217381731E-5	-8.63808972317202E-5	-1.08505372678337E-4	-1.30841547565069E-4	-1.53389421386237E-4	-1.76148993610695E-4	-1.99120263721852E-4	-2.22303231184924E-4	-9.83275169448461E-4	-0.00174376754511104	-0.00250355068127828	-0.00326239536311914	-0.00402007291123664	-0.00477635525472942	-0.00553101500402772	-0.00628382552335825	-0.0070345610029035	-0.00778299653060094	-0.00852890816350555	-0.00927207299882866	-0.0100122692444857	-0.0107492762892216	-0.0114828747722277	-0.0122128466523209	-0.0129389752765601	-0.013661045448338	-0.0143788434949201	-0.0150921573343949	-0.0158007765420407	-0.0165044924160538	-0.0172030980426316	-0.0178963883604447	-0.018584160224349	-0.0192662124684939	-0.0199423459686259	-0.0206123637037163	-0.0212760708168244	-0.0219332746751461	-0.0225837849293603	-0.0232274135720654	-0.0238639749954855	-0.0244932860482695	-0.0251151660914766	-0.025729437053662	-0.0263359234850941	-0.0269344526110654	-0.0275248543842536	-0.0281069615362103	-0.0285433990766178	-0.0285577177210143	-0.0285603548999279	-0.0285512690138203	-0.0285304233344577	-0.028497785984684	-0.0284533299166214	-0.0283970328881915	-0.0283288774381363	-0.0282488508593888	-0.0281569451709693	-0.0280531570882886	-0.0279374879919706	-0.0278099438951977	-0.0276705354095539	-0.0275192777094344	-0.0273561904950402	-0.0271812979539172	-0.026994628721186	-0.0267962158383234	-0.0265860967106564	-0.0263643130635319	-0.0261309108971727	-0.025885940440261	-0.0256294561022805	-0.0253615164246512	-0.0250821840306162	-0.0247915255739863	-0.0244896116867239	-0.0241765169254104	-0.0238523197165632	-0.0235171023009352	-0.0231709506767438	-0.0228139545418235	-0.0224462072348724	-0.0220678056756442	-0.0216788503042044	-0.0212794450193323	-0.0208696971159225	-0.020449717221607	-0.0200196192324984	-0.019579520248124	-0.0191295405055826	-0.0186698033129214	-0.0182004349818271	-0.0177215647595622	-0.0172333247602692	-0.0167358498956091	-0.0162292778047704	-0.0157137487839391
0.06	0	-4.75555105076637E-5	-9.5584126207541E-5	-1.44085844607616E-4	-1.93060663190408E-4	-2.42508579409332E-4	-2.92429590695974E-4	-3.4282369446737E-4	-3.93690888096899E-4	-4.45031168947025E-4	-4.9684453435475E-4	-0.00219965419546861	-0.00390123789863355	-0.00560108214647335	-0.0072986746613351	-0.00899350454836167	-0.0106850624577382	-0.0123728407460621	-0.0140563336367741	-0.015735037379618	-0.0174084504090752	-0.0190760735017066	-0.0207374099324006	-0.0223919656294056	-0.0240392493282088	-0.0256787727240917	-0.0273100506234441	-0.0289326010936784	-0.0305459456117715	-0.0321496092113994	-0.0337431206285655	-0.0353260124457483	-0.0368978212344446	-0.0384580876962064	-0.040006356801965	-0.041542177929743	-0.0430651050006527	-0.0445746966131519	-0.0460705161755177	-0.0475521320365624	-0.0490191176144508	-0.050471051523702	-0.0519075177002414	-0.0533281055245679	-0.0547324099429316	-0.0561200315865171	-0.0574905768886383	-0.0588436581998576	-0.0601788939010548	-0.0614959085143637	-0.0627943328120491	-0.0637671447350695	-0.0637965480603998	-0.0637998845558068	-0.0637770635936249	-0.0637280052962706	-0.0636526404886136	-0.0635509106470381	-0.0634227678451098	-0.0632681746959788	-0.0630871042915642	-0.0628795401384596	-0.0626454760907436	-0.0623849162796287	-0.0620978750400245	-0.0617843768340754	-0.0614444561716991	-0.0610781575281872	-0.0606855352588464	-0.0602666535108547	-0.0598215861322351	-0.0593504165780978	-0.0588532378141208	-0.0583301522173861	-0.0577812714745705	-0.0572067164775326	-0.0566066172163955	-0.0559811126701097	-0.0553303506945922	-0.0546544879084686	-0.0539536895764577	-0.0532281294905006	-0.052477989848594	-0.051703461131463	-0.0509047419770832	-0.0500820390531153	-0.0492355669272693	-0.0483655479357258	-0.047472212049568	-0.0465557967393761	-0.0456165468379477	-0.0446547144012693	-0.0436705585677191	-0.042664345415651	-0.0416363478193125	-0.0405868453032163	-0.0395161238949841	-0.0384244759767607	-0.0373122001351985	-0.0361796010101134	-0.0350269891418247
0.08	0	-8.37519703964063E-5	-1.68337030492694E-4	-2.53755172467208E-4	-3.40006388429174E-4	-4.27090670404141E-4	-5.15008010337624E-4	-6.03758400113293E-4	-6.93341831520229E-4	-7.83758296274755E-4	-8.75007786031347E-4	-0.00387899685116281	-0.00688044424324835	-0.00987844524496541	-0.0128720977508456	-0.0158605025520701	-0.0188427636192901	-0.0218179883832963	-0.024785288013496	-0.027743777694137	-0.0306925768981564	-0.0336308096586072	-0.0365576048375988	-0.0394720963926266	-0.0423734236402779	-0.0452607315172463	-0.0481331708385151	-0.0509898985527434	-0.053830077994724	-0.0566528791348719	-0.0594574788256978	-0.0622430610452029	-0.0650088171371135	-0.0677539460479638	-0.070477654560902	-0.0731791575262287	-0.0758576780885887	-0.0785124479107981	-0.0811427073941995	-0.083747705895621	-0.0863267019407504	-0.0888789634340283	-0.0914037678649111	-0.0939004025105241	-0.0963681646346886	-0.0988063616832333	-0.1012143114756	-0.103591342392705	-0.105936793561039	-0.108250015032954	-0.110530367963114	-0.112237157268835	-0.112282497757136	-0.11228203203416	-0.112235606284725	-0.112143085287069	-0.112004352323052	-0.111819309083083	-0.111587875565743	-0.111309989972335	-0.11098560859622	-0.110614705707234	-0.110197273431069	-0.109733321623833	-0.109222877741726	-0.108665986706019	-0.108062710763345	-0.107413129341374	-0.106717338899976	-0.105975452777868	-0.105187601034948	-0.104353930290206	-0.103474603555478	-0.102549800064928	-0.101579715100477	-0.100564559813163	-0.0995045610405177	-0.0983999611200598	-0.097251017698949	-0.0960580035398634	-0.0948212063232022	-0.0935409284456582	-0.092217486815247	-0.0908512126428504	-0.0894424512303522	-0.0879915617554616	-0.0864989170532172	-0.0849649033943897	-0.0833899202606626	-0.0817743801168581	-0.080118708180129	-0.0784233421863064	-0.0766887321533577	-0.0749153401421645	-0.0731036400145858	-0.0712541171889134	-0.0693672683928708	-0.0674436014140774	-0.0654836348481949	-0.0634878978447996	-0.0614569298509923
0.1	0	-1.29282212230464E-4	-2.59850178612396E-4	-3.9170388025741E-4	-5.24843298087944E-4	-6.5926841284454E-4	-7.94979205078562E-4	-9.31975655159477E-4	-0.0010702577432603	-0.0012098254493867	-0.00135067875334425	-0.00599804326341473	-0.0106407181843824	-0.0152773063388231	-0.0199064155084779	-0.0245266588686827	-0.0291366554185552	-0.0337350304067695	-0.0383204157528635	-0.0428914504639179	-0.0474467810465612	-0.0519850619141362	-0.0565049557889761	-0.0610051340996906	-0.0654842773733762	-0.0699410756226353	-0.0743742287273963	-0.0787824468113904	-0.0831644506132398	-0.0875189718521178	-0.091844753587844	-0.0961405505754883	-0.100405129614246	-0.104637269890725	-0.108835763316441	-0.112999414859572	-0.117127042870907	-0.121217479403931	-0.125269570529024	-0.129282176641802	-0.133254172765424	-0.137184448847045	-0.141071910048217	-0.144915477029306	-0.148714086227927	-0.152466690131307	-0.156172257542628	-0.159829773841371	-0.163438241237534	-0.166996679019881	-0.170504123798091	-0.173125937938508	-0.173183044323738	-0.173169642426023	-0.17308550632478	-0.172930438126561	-0.172704267814777	-0.172406853092496	-0.172038079218353	-0.171597858835728	-0.171086131795306	-0.170502864971069	-0.169848052069909	-0.169121713434848	-0.168323895842106	-0.167454672291948	-0.166514141793585	-0.165502429144053	-0.164419684701308	-0.163266084151517	-0.162041828270674	-0.160747142680702	-0.159382277599965	-0.157947507588462	-0.156443131287593	-0.154869471154816	-0.153226873193002	-0.151515706674807	-0.14973636386203	-0.14788925972001	-0.145974831627216	-0.143993539080082	-0.141945863393121	-0.139832307394456	-0.137653395116835	-0.135409671484125	-0.133101701993517	-0.13073007239334	-0.128295388356706	-0.125798275150992	-0.123239377303216	-0.120619358261454	-0.117938900052308	-0.11519870293454	-0.112399485048947	-0.109541982064515	-0.106626946821001	-0.103655148967977	-0.100627374600394	-0.0975444258908174	-0.0944071207183661
0.12	0	-1.83405173986102E-4	-3.68633972982934E-4	-5.55686358322419E-4	-7.44562290954491E-4	-9.35261731443461E-4	-0.0011277846399862	-0.00132213097638669	-0.00151830070007782	-0.00171629377010322	-0.00191611014513182	-0.00852735243667485	-0.0151305981329751	-0.0217238643154597	-0.0283051767245161	-0.0348725703656492	-0.0414240901075718	-0.0479577912721943	-0.0544717402162532	-0.0609640149045554	-0.06743270547469	-0.0738759147930578	-0.0802917590021862	-0.0866783680592125	-0.0930338862654025	-0.0993564727867379	-0.105644302165369	-0.111895564822018	-0.118108467549118	-0.124281233994818	-0.130412105137661	-0.136499339752005	-0.142541214864123	-0.148536026198944	-0.154482088617493	-0.16037773654495	-0.16622132438936	-0.172011226951036	-0.17774583982259	-0.183423579779705	-0.189042885162566	-0.194602216248109	-0.200100055612984	-0.205534908487371	-0.210905303099669	-0.216209791012076	-0.221446947447123	-0.226615371605298	-0.231713686973639	-0.236740541625579	-0.241694608511923	-0.245391759910086	-0.245450223400843	-0.2454090045831	-0.245267802957696	-0.245026356613438	-0.244684441994021	-0.244241873657196	-0.243698504026364	-0.243054223134699	-0.242308958362002	-0.241462674164406	-0.240515371797024	-0.239467089029746	-0.238317899856233	-0.237067914196301	-0.235717277591735	-0.234266170895669	-0.232714809955683	-0.231063445290634	-0.229312361761371	-0.227461878235416	-0.225512347245669	-0.223464154643261	-0.221317719244598	-0.219073492472697	-0.216731957992855	-0.214293631342749	-0.211759059557025	-0.209128820786416	-0.206403523911467	-0.20358380815095	-0.200670342664951	-0.19766382615277	-0.194564986445592	-0.191374580094103	-0.188093391950941	-0.184722234748169	-0.181261948669748	-0.177713400919052	-0.174077485281516	-0.170355121682387	-0.166547255739719	-0.162654858312588	-0.158678925044555	-0.154620475902535	-0.150480554710954	-0.146260228681411	-0.141960587937774	-0.137582745036802	-0.13312783448437
0.14	0	-2.45231577915547E-4	-4.92900895140338E-4	-7.43007881108497E-4	-9.95552464584762E-4	-0.00125053457362083	-0.0015079541355808	-0.00176781107714123	-0.00203010532427288	-0.00229483680225894	-0.00256200543569139	-0.0114316434249704	-0.0202884358799856	-0.0291297306425731	-0.0379528897286255	-0.0467552901203089	-0.0555343245444783	-0.0642874022370088	-0.0730119496930856	-0.0817054114031817	-0.0903652505746977	-0.0989889498392076	-0.107574011945151	-0.116117960436004	-0.124618340313802	-0.133072718688061	-0.141478685410049	-0.149833853692355	-0.158135860713857	-0.166382368210041	-0.174571063048705	-0.182699657791167	-0.19076589123892	-0.198767528965873	-0.206702363836263	-0.214568216508287	-0.222362935923549	-0.23008439978247	-0.237730515005758	-0.245299218182015	-0.252788476001711	-0.260196285677565	-0.26752067535156	-0.274759704488661	-0.281911464257533	-0.288974077898249	-0.295945701077311	-0.302824522230101	-0.309608762890926	-0.316296678010905	-0.32288655626382	-0.32779484167535	-0.327836962096131	-0.327746335383163	-0.327522591423145	-0.327165409839232	-0.326674519648532	-0.326049698912539	-0.325290774380803	-0.32439762112793	-0.323370162184176	-0.322208368159765	-0.32091225686311	-0.319481892913074	-0.317917387345413	-0.316218897213519	-0.314386625183623	-0.31242081912444	-0.310321771691546	-0.308089819906385	-0.305725344730086	-0.303228770632108	-0.300600565153829	-0.297841238467045	-0.294951342927503	-0.29193147262343	-0.288782262919114	-0.285504389993592	-0.282098570374375	-0.278565560466283	-0.274906156075362	-0.271121191927872	-0.26721154118437	-0.263178114948802	-0.259021861772664	-0.254743767154167	-0.250344853032362	-0.245826177276242	-0.241188833168751	-0.236433948885668	-0.23156268696937	-0.226576243797372	-0.221475849045666	-0.216262765146777	-0.210938286742523	-0.205503740131433	-0.199960482710783	-0.194309902413217	-0.188553417137944	-0.182692474176398	-0.176728549632444
0.16	0	-3.13733551003679E-4	-6.30584846650891E-4	-9.50553768700047E-4	-0.00127364019774177	-0.00159984401321344	-0.00192916509337738	-0.00226160331534265	-0.00259715855504692	-0.00293583068727821	-0.00327761958564952	-0.0146702043739242	-0.0260431235071956	-0.0373929837175856	-0.0487164137567488	-0.060010065378614	-0.0712706142998068	-0.0824947611376083	-0.0936792323252921	-0.104820781004873	-0.115916187897186	-0.126962262149267	-0.137955842159081	-0.148893796377626	-0.159773024088398	-0.170590456164402	-0.181343055802732	-0.192027819236828	-0.20264177642659	-0.213181991726469	-0.22364556453174	-0.2340296299031	-0.244331359169828	-0.254547960511751	-0.264676679520206	-0.274714799738282	-0.284659643180625	-0.294508570833044	-0.304258983132258	-0.313908320426072	-0.323454063414287	-0.332893733570731	-0.342224893546645	-0.351445147555918	-0.360552141742381	-0.369543564529649	-0.378417146953816	-0.387170662979388	-0.395801929798865	-0.404308808116381	-0.412689202415702	-0.418916594353268	-0.418916514930217	-0.418747393663583	-0.418408803975242	-0.417900380159084	-0.417221816898287	-0.416372868778457	-0.415353349796966	-0.414163132868613	-0.412802149327989	-0.411270388428569	-0.409567896838791	-0.407694778135319	-0.40565119229347	-0.403437355175105	-0.401053538013934	-0.398500066898352	-0.395777322251939	-0.392885738311474	-0.389825802602732	-0.386598055413859	-0.383203089266423	-0.379641548384065	-0.375914128158773	-0.37202157461465	-0.367964683869122	-0.36374430159156	-0.359361322459172	-0.354816689610041	-0.350111394093252	-0.345246474315965	-0.340223015487234	-0.33504214905854	-0.329705052160778	-0.324212947037642	-0.318567100475124	-0.312768823227067	-0.306819469436527	-0.300720436052805	-0.294473162243918	-0.288079128804373	-0.281539857558008	-0.27485691075576	-0.268031890468108	-0.261066437972066	-0.253962233132475	-0.246720993777453	-0.239344475067763	-0.231834468859979	-0.224192803063233
0.18	0	-3.87755763254972E-4	-7.79363541445491E-4	-0.00117482314897643	-0.00157413439841184	-0.00197729710050407	-0.00238431106418284	-0.00279517609654067	-0.00320989200285476	-0.00362845858657602	-0.00405087564933638	-0.0181973648086423	-0.0323149322262398	-0.0463993851454288	-0.0604465635569904	-0.074452341364442	-0.0884126275151102	-0.102323367097004	-0.116180542401478	-0.129980173951815	-0.143718321497756	-0.157391084976163	-0.170994605437965	-0.184525065941572	-0.197978692413013	-0.211351754473053	-0.224640566231599	-0.237841487049685	-0.250950922269421	-0.263965323912296	-0.27688119134618	-0.289695071921538	-0.302403561577274	-0.31500330541666	-0.327490998253896	-0.339863385131797	-0.352117261811163	-0.364249475232369	-0.376256923949793	-0.388136558539616	-0.399885381981676	-0.411500450015923	-0.422978871474192	-0.434317808587835	-0.445514477272012	-0.456566147387144	-0.467470142978331	-0.478223842493382	-0.488824678980101	-0.499270140263583	-0.509557769104158	-0.51718164374946	-0.517104699386899	-0.516819917131521	-0.516326835747306	-0.515625065348064	-0.51471428674008	-0.5135942507664	-0.512264777653199	-0.510725756358344	-0.50897714392249	-0.50701896482287	-0.504851310329988	-0.502474337867228	-0.499888270373642	-0.497093395669854	-0.494090065827175	-0.490878696539927	-0.487459766500961	-0.483833816780276	-0.480001450206739	-0.475963330752718	-0.471720182921559	-0.467272791137708	-0.462621999139345	-0.457768709373275	-0.452713882391927	-0.447458536252107	-0.442003745915372	-0.436350642649657	-0.430500413431866	-0.424454300351135	-0.418213600012437	-0.41177966294016	-0.405153892981329	-0.398337746708068	-0.391332732818966	-0.384140411538912	-0.376762394017016	-0.369200341722248	-0.361455965836296	-0.353531026643326	-0.345427332916115	-0.33714674129826	-0.328691155681885	-0.320062526580539	-0.311262850496802	-0.30229416928416	-0.293158569502793	-0.283858181768741	-0.274395180096137
0.2	0	-4.66027972423035E-4	-9.36683725394687E-4	-0.00141196698242129	-0.00189187746428797	-0.0023764148890732	-0.00286557897213061	-0.00335936942609987	-0.00385778596091041	-0.00436082828376675	-0.00486849609916681	-0.0219630258308207	-0.0390164534473588	-0.0560237436851421	-0.0729799082107675	-0.0898800069452518	-0.106719149338271	-0.123492495592644	-0.140195257839296	-0.156822701262976	-0.173370145179077	-0.189832964061938	-0.206206588525067	-0.222486506253776	-0.238668262890733	-0.25474746287503	-0.270719770235381	-0.286580909338065	-0.302326665590368	-0.317952886100222	-0.333455480292774	-0.348830420484786	-0.364073742417582	-0.379181545749489	-0.394149994508611	-0.408975317506884	-0.423653808716359	-0.438181827608643	-0.452555799458514	-0.46677221561272	-0.480827633724952	-0.494718677958106	-0.508442039154757	-0.521994474977077	-0.535372810017143	-0.548573935878787	-0.561594811232068	-0.574432461841465	-0.58708398056891	-0.599546527352741	-0.61181732916371	-0.620882285194737	-0.620684584686915	-0.620238531685374	-0.619543660937063	-0.61859958768831	-0.617406006815692	-0.615962691967896	-0.614269494718967	-0.612326343733181	-0.610133243941793	-0.60769027573182	-0.604997594146989	-0.602055428100932	-0.598864079602645	-0.595423922994203	-0.59173540420067	-0.587799039992067	-0.583615417257297	-0.57918519228978	-0.574509090084615	-0.569587903646949	-0.564422493311275	-0.559013786071304	-0.553362774920033	-0.547470518199582	-0.541338138960364	-0.534966824329116	-0.528357824885268	-0.521512454045136	-0.514432087453348	-0.507118162380968	-0.499572177129685	-0.491795690441388	-0.483790320912609	-0.475557746412986	-0.467099703507283	-0.458417986880031	-0.449514448762286	-0.440390998359631	-0.431049601280789	-0.421492278966034	-0.411721108114696	-0.401738220110981	-0.391545800447333	-0.381146088144626	-0.370541375168346	-0.359734005840101	-0.348726376243572	-0.337520933624259	-0.326120175782209
